start,end,distance,duration 
1,1,0,0
1,2,159,126
1,3,223,183
1,4,247,202
1,5,258,202
1,6,246,199
1,7,229,187
1,8,267,201
1,9,300,243
2,1,158,118
2,2,0,0
2,3,65,57
2,4,89,76
2,5,99,76
2,6,89,73
2,7,72,61
2,8,103,81
2,9,143,117
3,1,222,175
3,2,65,57
3,3,0,0
3,4,29,28
3,5,54,46
3,6,73,67
3,7,69,58
3,8,47,34
3,9,81,70
4,1,247,194
4,2,89,76
4,3,29,28
4,4,0,0
4,5,34,31
4,6,61,52
4,7,69,60
4,8,71,63
4,9,57,41
5,1,257,193
5,2,99,75
5,3,54,47
5,4,34,32
5,5,0,0
5,6,34,34
5,7,50,41
5,8,98,81
5,9,89,73
6,1,247,192
6,2,90,74
6,3,72,69
6,4,60,54
6,5,34,35
6,6,0,0
6,7,22,23
6,8,117,103
6,9,117,95
7,1,228,180
7,2,72,62
7,3,66,60
7,4,69,62
7,5,50,42
7,6,22,23
7,7,0,0
7,8,113,94
7,9,125,103
8,1,267,192
8,2,104,80
8,3,47,34
8,4,71,63
8,5,98,80
8,6,118,101
8,7,115,92
8,8,0,0
8,9,70,52
9,1,300,235
9,2,143,117
9,3,81,70
9,4,57,41
9,5,89,72
9,6,117,93
9,7,125,101
9,8,70,52
9,9,0,0
