x1	: 28.416715, -81.581217
x2	: 28.418143, -81.581202
x3	: 28.418676, -81.581540
x4	: 28.418897, -81.581503
X5	: 28.419025, -81.581196
x6	: 28.418886, -81.580897
x7	: 28.418684, -81.580866
x8	: 28.418542, -81.582001
x9	: 28.419149, -81.581993
x10	: 28.419898, -81.579873
x11	: 28.418476, -81.579452
x12	: 28.418818, -81.579209
x13	: 28.419308, -81.577859
x14	: 28.420908, -81.578509
x15	: 28.420831, -81.578882
x16	: 28.420730, -81.579310
x17	: 28.421210, -81.580319
x18	: 28.420478, -81.580895
x19	: 28.419981, -81.581198
x20	: 28.420263, -81.581474
x21	: 28.420098, -81.582779
x22	: 28.419418, -81.582603
x23	: 28.418988, -81.584598
x24	: 28.418130, -81.583702
x25	: 28.418539, -81.583249
